id,company_id,customer_id,date,reference,created_at,updated_at,voucher_id,sales_ledger_id,output_tax_ledger_id,due_date,sales_person_id,narration,department_id,project_id,invoice_type,custom_reference,last_overdue_reminder_sent_at,overdue_reminders_sent,payment_ledger_id,bill_date,segment_id,apply_tds,tds_amount,tds_ledger_id,sales_type
169,14,8,2026-03-27,ab,2026-03-27 08:44:18.072073+00:00,2026-03-27 08:44:18.260266+00:00,457.0,107.0,100.0,2026-03-27,,,,,PRODUCT,,,0,,,,False,,,LOCAL
170,14,8,2026-01-25,1012,2026-03-27 08:57:39.608513+00:00,2026-03-27 08:57:39.821213+00:00,458.0,107.0,100.0,2026-01-25,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
171,14,8,2026-03-27,1013,2026-03-27 09:14:42.411477+00:00,2026-03-27 09:14:42.597400+00:00,460.0,107.0,100.0,2026-03-27,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
81,6,6,2026-02-13,,2026-02-12 23:58:46.061616+00:00,2026-02-12 23:58:46.111341+00:00,286.0,76.0,258.0,2026-02-13,1.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
82,6,6,2026-02-13,,2026-02-13 00:05:47.858296+00:00,2026-02-13 00:05:47.953763+00:00,287.0,76.0,258.0,2026-02-13,1.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
172,14,8,2026-03-27,1024,2026-03-27 10:16:22.094222+00:00,2026-03-27 10:16:22.289557+00:00,461.0,107.0,100.0,2026-03-27,2.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
83,6,9,2026-02-13,,2026-02-13 08:48:33.416712+00:00,2026-02-13 08:48:33.639485+00:00,288.0,76.0,258.0,2026-02-13,1.0,,,,PRODUCT,,,0,,,,False,,,LOCAL
173,14,8,2026-03-27,76876,2026-03-27 10:34:49.661627+00:00,2026-03-27 10:34:49.926847+00:00,462.0,107.0,100.0,2026-03-27,,,,,PRODUCT,,,0,,,,False,,,LOCAL
174,14,8,2026-03-27,1014,2026-03-27 10:59:55.768994+00:00,2026-03-27 10:59:55.956063+00:00,463.0,107.0,100.0,2026-03-27,,,,,PRODUCT,,,0,5.0,,,False,,,LOCAL
175,14,10,2026-02-24,A1,2026-03-27 22:20:29.059300+00:00,2026-03-27 22:20:29.305832+00:00,464.0,107.0,100.0,2026-02-24,,,2.0,2.0,SERVICE,,,0,,,,False,,,LOCAL
176,14,10,2026-03-28,A12,2026-03-27 22:22:26.192795+00:00,2026-03-27 22:22:26.371844+00:00,465.0,107.0,100.0,2026-03-28,,,6.0,2.0,SERVICE,,,0,,,,False,,,LOCAL
177,14,10,2026-03-28,yuiyi,2026-03-28 00:37:36.893584+00:00,2026-03-28 00:37:37.155889+00:00,466.0,107.0,100.0,2026-03-28,2.0,,6.0,,PRODUCT,,,0,,,,False,,,LOCAL
84,6,6,2026-02-13,abc,2026-02-13 09:27:44.218203+00:00,2026-02-13 12:19:47.658741+00:00,292.0,76.0,258.0,2026-02-13,1.0,being kb sold,,,PRODUCT,,,0,,,,False,,,LOCAL
85,6,6,2026-02-13,,2026-02-13 12:17:14.695180+00:00,2026-02-13 12:24:36.242487+00:00,294.0,76.0,258.0,2026-02-13,1.0,KB is sold,,,PRODUCT,,,0,,,,False,,,LOCAL
181,21,26,2026-04-04,SUBS-#1,2026-04-04 20:53:38.645875+00:00,2026-04-04 21:35:49.889664+00:00,473.0,,,2026-04-04,,SaaS 5 Subscription: A-One Cafe and Restaurant (From 2026-04-04 To 2026-05-04),,,SERVICE,,,0,,,,False,,,LOCAL
182,21,26,2026-04-04,SUBS-#2,2026-04-04 20:53:39.146453+00:00,2026-04-04 21:35:49.889668+00:00,474.0,,,2026-04-04,,SaaS 5 Subscription: A-One Cafe and Restaurant (From 2026-05-04 To 2027-05-04),,,SERVICE,,,0,,,,False,,,LOCAL
183,14,8,2026-04-05,255,2026-04-05 09:36:40.657136+00:00,2026-04-05 09:36:40.805304+00:00,479.0,107.0,100.0,2026-04-05,,,,,SERVICE,,,0,,,,False,,,LOCAL
184,14,8,2026-04-05,Table 1,2026-04-05 09:49:45.426664+00:00,2026-04-05 09:49:45.688767+00:00,480.0,107.0,100.0,2026-04-05,,,,,PRODUCT,,,0,,,,False,,,LOCAL
185,14,8,2026-02-17,gjg,2026-04-05 22:26:52.159712+00:00,2026-04-05 22:26:52.368879+00:00,483.0,107.0,100.0,2026-02-17,,,,,PRODUCT,,,0,,,,False,,,LOCAL
186,14,8,2026-04-09,2323,2026-04-09 02:08:05.288747+00:00,2026-04-09 02:08:05.541025+00:00,493.0,107.0,100.0,2026-04-09,,,,,PRODUCT,,,0,,2026-04-09,,False,,,LOCAL
187,14,8,2026-04-09,,2026-04-09 02:17:22.241715+00:00,2026-04-09 02:17:22.438960+00:00,494.0,107.0,100.0,2026-04-09,,,,,PRODUCT,,,0,,2026-04-09,,False,,,LOCAL
188,14,10,2026-04-09,Table 1,2026-04-09 09:38:15.835212+00:00,2026-04-09 09:38:16.123581+00:00,495.0,107.0,100.0,2026-04-09,,,,,PRODUCT,,,0,,,,False,,,LOCAL
189,14,8,2026-04-12,,2026-04-12 10:04:16.977670+00:00,2026-04-12 10:04:17.264011+00:00,504.0,107.0,100.0,2026-04-12,,,,,PRODUCT,,,0,,2026-04-12,,True,12.75,105.0,LOCAL
190,14,8,2026-04-12,,2026-04-12 11:49:08.901215+00:00,2026-04-12 11:49:09.448795+00:00,505.0,107.0,100.0,2026-04-12,2.0,,,,PRODUCT,,,0,,2026-04-12,,True,12.75,105.0,LOCAL
191,14,8,2026-04-15,,2026-04-15 06:41:26.545027+00:00,2026-04-15 06:41:26.759832+00:00,506.0,107.0,100.0,2026-04-15,2.0,,,,PRODUCT,,,0,,2026-04-15,,False,,,LOCAL
192,14,8,2026-04-15,,2026-04-15 07:53:37.762599+00:00,2026-04-15 07:53:37.898615+00:00,507.0,107.0,100.0,2026-04-15,,,,,SERVICE,,,0,,2026-04-15,,True,14.25,1081.0,LOCAL
193,14,8,2026-04-17,,2026-04-16 20:26:57.264435+00:00,2026-04-16 20:26:57.430960+00:00,510.0,107.0,100.0,2026-04-17,2.0,,,,PRODUCT,,,0,,2026-04-17,,False,,,LOCAL
195,14,8,2026-04-24,INV-101,2026-04-24 07:22:21.576504+00:00,2026-04-24 07:22:21.576510+00:00,,,,2026-04-24,,Standard sales transaction,,,PRODUCT,,,0,,2026-04-24,,False,,,LOCAL
