id,owner_id,name,fiscal_year_start,fiscal_year_end,address,phone,created_at,updated_at,tenant_id,mobile,pan,country,currency,default_purchase_ledger_id,default_input_tax_ledger_id,pan_number,business_type,cost_center_mode,cost_center_single_dimension,inventory_valuation_method,default_sales_ledger_id,default_output_tax_ledger_id,default_item_income_ledger_id,default_item_expense_ledger_id,default_item_input_tax_ledger_id,default_item_output_tax_ledger_id,enable_cost_centers_in_vouchers,business_type_id
14,9,Manish Shrestha & Company,2025-07-17,2026-07-16,"Koteshwor-32, Kathmandu",9851220665,2025-11-21 21:17:40.809518+00:00,2026-04-22 07:56:31.861577+00:00,12,,,NP,NPR,108.0,99.0,,,triple,,FIFO,107.0,100.0,107.0,108.0,99.0,100.0,True,
39,22,abc company,,,ktm,4556666,2026-03-09 06:39:51.148416+00:00,2026-03-09 06:39:51.680377+00:00,23,,,NP,NPR,747.0,750.0,,,,,AVERAGE,758.0,751.0,758.0,747.0,750.0,751.0,False,
27,19,Testing Reset Co,,,,,2026-02-16 07:39:18.952841+00:00,2026-03-24 22:56:18.003389+00:00,1,,,,,822.0,816.0,,,,,AVERAGE,821.0,817.0,821.0,822.0,816.0,817.0,False,
28,19,Testing Reset Co,,,,,2026-02-16 07:51:28.539686+00:00,2026-03-24 22:56:18.257419+00:00,1,,,,,853.0,847.0,,,,,AVERAGE,852.0,848.0,852.0,853.0,847.0,848.0,False,
6,7,Prixna IT Solution Pvt. Ltd.,2025-07-23,2025-11-23,"Koteshwor-32, Kathmandu",9851220665,2025-11-19 07:43:06.794562+00:00,2026-02-13 15:02:00.156426+00:00,10,,,NP,NPR,42.0,257.0,9898989,savings,,,AVERAGE,76.0,258.0,76.0,42.0,257.0,258.0,False,
31,19,Statement Test Co,,,,,2026-02-16 13:14:03.913981+00:00,2026-03-24 22:56:18.503963+00:00,1,,,,,885.0,879.0,,,,,AVERAGE,884.0,880.0,884.0,885.0,879.0,880.0,False,
18,12,manisha3 Company,2025-09-23,2025-11-23,Kathmandu,9851220665,2025-11-23 07:19:39.092277+00:00,2026-02-14 08:16:01.887887+00:00,15,,,NP,NPR,462.0,465.0,,,double,,AVERAGE,473.0,466.0,473.0,462.0,465.0,466.0,True,
32,19,Statement Test Co,,,,,2026-02-16 13:14:16.376821+00:00,2026-03-24 22:56:18.701822+00:00,1,,,,,917.0,911.0,,,,,AVERAGE,916.0,912.0,916.0,917.0,911.0,912.0,False,
33,19,Statement Test Co,,,,,2026-02-16 13:14:32.994689+00:00,2026-03-24 22:56:18.901306+00:00,1,,,,,949.0,943.0,,,,,AVERAGE,948.0,944.0,948.0,949.0,943.0,944.0,False,
42,27,Bypass Test Co,,,,,2026-03-29 01:23:50.941436+00:00,2026-03-29 01:23:50.941439+00:00,28,,,,,,,,,,,AVERAGE,,,,,,,False,
