id,company_id,warehouse_id,item_id,qty_delta,unit_cost,source_type,source_id,source_line_id,posted_at,reversed_at,reversal_of_ledger_id,created_by
69,24,15,15,-3.0,0.0,PURCHASE_RETURN,5,,2025-12-13 18:15:00+00:00,,,18
70,24,15,15,-1.0,500.0,PURCHASE_RETURN,6,,2025-12-13 18:15:00+00:00,,,18
71,24,15,15,5.0,500.0,PURCHASE_BILL,91,138.0,2025-12-13 18:15:00+00:00,,,18
72,24,15,15,1.0,500.0,PURCHASE_BILL,92,139.0,2025-12-13 18:15:00+00:00,,,18
73,24,15,15,1.0,500.0,PURCHASE_BILL,93,140.0,2025-12-13 18:15:00+00:00,,,18
74,24,15,15,1.0,500.0,PURCHASE_BILL,94,141.0,2025-12-13 18:15:00+00:00,,,18
75,24,15,15,1.0,600.0,PURCHASE_BILL,95,142.0,2025-12-13 18:15:00+00:00,,,18
76,24,15,15,-5.0,500.0,SALES_INVOICE,76,50.0,2025-12-13 18:15:00+00:00,,,18
47,24,15,15,1.0,500.0,PURCHASE_BILL,90,136.0,2025-12-12 18:15:00+00:00,,,18
87,6,5,8,5.0,1000.0,PURCHASE_BILL,104,151.0,2025-12-23 18:15:00+00:00,,,7
88,6,5,13,10.0,5000.0,PURCHASE_BILL,105,152.0,2026-02-12 18:15:00+00:00,,,7
89,6,5,13,-3.0,5000.0,SALES_INVOICE,81,55.0,2026-02-12 18:15:00+00:00,,,7
90,6,5,13,-3.0,5000.0,SALES_INVOICE,82,56.0,2026-02-12 18:15:00+00:00,,,7
91,6,5,8,-1.0,1000.0,SALES_INVOICE,83,57.0,2026-02-12 18:15:00+00:00,,,7
92,6,5,8,-1.0,1000.0,SALES_INVOICE,84,58.0,2026-02-12 18:15:00+00:00,2026-02-13 12:18:55.747123+00:00,,7
94,6,5,8,1.0,1000.0,SALES_INVOICE,84,58.0,2026-02-13 12:18:55.747123+00:00,2026-02-13 12:19:47.590626+00:00,92.0,7
95,6,5,8,-1.0,,SALES_INVOICE,84,60.0,2026-02-13 12:18:55.784669+00:00,2026-02-13 12:19:47.590626+00:00,,7
96,6,5,8,-1.0,1000.0,SALES_INVOICE,84,58.0,2026-02-13 12:19:47.590626+00:00,,94.0,7
97,6,5,8,1.0,,SALES_INVOICE,84,60.0,2026-02-13 12:19:47.590626+00:00,,95.0,7
98,6,5,8,-1.0,,SALES_INVOICE,84,61.0,2026-02-13 12:19:47.626572+00:00,,,7
93,6,5,13,-2.0,5000.0,SALES_INVOICE,85,59.0,2026-02-12 18:15:00+00:00,2026-02-13 12:20:48.287955+00:00,,7
99,6,5,13,2.0,5000.0,SALES_INVOICE,85,59.0,2026-02-13 12:20:48.287955+00:00,2026-02-13 12:24:36.183332+00:00,93.0,7
100,6,5,13,-2.0,,SALES_INVOICE,85,62.0,2026-02-13 12:20:48.305985+00:00,2026-02-13 12:24:36.183332+00:00,,7
101,6,5,13,-2.0,5000.0,SALES_INVOICE,85,59.0,2026-02-13 12:24:36.183332+00:00,,99.0,7
102,6,5,13,2.0,,SALES_INVOICE,85,62.0,2026-02-13 12:24:36.183332+00:00,,100.0,7
103,6,5,13,-2.0,,SALES_INVOICE,85,63.0,2026-02-13 12:24:36.213618+00:00,,,7
202,14,11,26,5.0,50000.0,PURCHASE_BILL,131,193.0,2025-07-16 18:15:00+00:00,,,9
203,14,11,25,10.0,5000.0,PURCHASE_BILL,132,194.0,2025-08-17 18:15:00+00:00,,,9
204,14,11,24,2.0,150000.0,PURCHASE_BILL,133,195.0,2025-09-15 18:15:00+00:00,,,9
205,14,11,16,50.0,500.0,PURCHASE_BILL,134,196.0,2025-11-17 18:15:00+00:00,,,9
206,14,11,25,-5.0,5000.0,SALES_INVOICE,161,161.0,2025-11-30 18:15:00+00:00,,,9
207,14,11,25,-2.0,5000.0,SALES_INVOICE,163,163.0,2025-07-21 18:15:00+00:00,,,9
209,14,11,16,-10.0,500.0,SALES_INVOICE,165,165.0,2025-10-23 18:15:00+00:00,,,9
210,14,11,16,-10.0,500.0,SALES_INVOICE,166,166.0,2026-01-14 18:15:00+00:00,,,9
208,14,11,16,-5.0,0.0,SALES_INVOICE,164,172.0,2025-08-20 18:15:00+00:00,,,9
211,14,11,25,-1.0,5000.0,SALES_INVOICE,167,173.0,2026-03-26 18:15:00+00:00,,,9
212,14,11,16,-10.0,500.0,SALES_INVOICE,168,176.0,2026-03-26 18:15:00+00:00,,,9
213,14,11,16,-1.0,500.0,SALES_INVOICE,169,177.0,2026-03-26 18:15:00+00:00,,,9
214,14,11,16,-2.0,500.0,SALES_INVOICE,170,178.0,2026-01-24 18:15:00+00:00,,,9
215,14,11,16,-1.0,500.0,SALES_INVOICE,171,179.0,2026-03-26 18:15:00+00:00,,,9
216,14,11,16,-1.0,500.0,SALES_INVOICE,172,180.0,2026-03-26 18:15:00+00:00,,,9
217,14,11,16,-1.0,500.0,SALES_INVOICE,173,181.0,2026-03-26 18:15:00+00:00,,,9
218,14,11,16,-1.0,500.0,SALES_INVOICE,174,182.0,2026-03-26 18:15:00+00:00,,,9
219,14,11,16,-2.0,500.0,SALES_INVOICE,177,186.0,2026-03-27 18:15:00+00:00,,,9
220,14,11,16,10.0,600.0,PURCHASE_BILL,135,197.0,1968-12-30 18:30:00+00:00,,,9
221,14,11,16,10.0,600.0,PURCHASE_BILL,136,198.0,1968-12-30 18:30:00+00:00,,,9
222,14,11,16,5.0,600.0,PURCHASE_BILL,137,199.0,2026-04-04 18:15:00+00:00,,,9
223,14,11,25,5.0,5500.0,PURCHASE_BILL,139,201.0,1969-05-25 18:30:00+00:00,,,9
224,14,11,16,10.0,500.0,PURCHASE_BILL,140,202.0,1969-05-25 18:30:00+00:00,,,9
225,14,11,16,-1.0,600.0,SALES_INVOICE,185,192.0,2026-02-16 18:15:00+00:00,,,9
226,14,11,25,1.0,6000.0,PURCHASE_BILL,141,203.0,1969-05-25 18:30:00+00:00,,,9
227,14,11,25,1.0,7000.0,PURCHASE_BILL,142,204.0,2026-04-05 18:15:00+00:00,,,9
228,14,11,16,5.0,500.0,PURCHASE_BILL,143,205.0,1969-07-18 18:30:00+00:00,,,9
229,14,11,16,1.0,500.0,PURCHASE_BILL,144,206.0,1969-05-29 18:30:00+00:00,,,9
230,14,11,16,1.0,500.0,PURCHASE_BILL,145,207.0,1969-05-25 18:30:00+00:00,,,9
231,14,11,16,1.0,500.0,PURCHASE_BILL,146,208.0,2026-04-05 18:15:00+00:00,,,9
232,14,11,16,1.0,500.0,PURCHASE_BILL,147,209.0,2026-04-05 18:15:00+00:00,,,9
233,14,11,16,1.0,500.0,PURCHASE_BILL,148,210.0,2026-04-05 18:15:00+00:00,,,9
234,14,11,25,1.0,7000.0,PURCHASE_BILL,149,211.0,2026-04-05 18:15:00+00:00,,,9
235,14,11,25,-1.0,6000.0,SALES_INVOICE,186,193.0,2026-04-08 18:15:00+00:00,,,9
236,14,11,16,-1.0,600.0,SALES_INVOICE,187,194.0,2026-04-08 18:15:00+00:00,,,9
237,14,11,24,1.0,200000.0,PURCHASE_BILL,150,212.0,2026-04-08 18:15:00+00:00,,,9
238,14,11,25,1.0,5000.0,PURCHASE_BILL,151,213.0,2026-04-09 18:15:00+00:00,,,9
239,14,11,16,1.0,500.0,PURCHASE_BILL,151,214.0,2026-04-09 18:15:00+00:00,,,9
240,14,11,16,5.0,500.0,PURCHASE_BILL,152,216.0,2026-04-11 18:15:00+00:00,,,9
241,14,11,20,5.0,700.0,PURCHASE_BILL,152,217.0,2026-04-11 18:15:00+00:00,,,9
242,14,11,16,1.0,500.0,PURCHASE_BILL,153,218.0,2026-04-11 18:15:00+00:00,,,9
243,14,11,16,1.0,500.0,PURCHASE_BILL,154,219.0,2026-04-11 18:15:00+00:00,,,9
244,14,11,25,1.0,5000.0,PURCHASE_BILL,155,220.0,2026-04-11 18:15:00+00:00,,,9
245,14,11,25,1.0,5000.0,PURCHASE_BILL,156,221.0,2026-04-11 18:15:00+00:00,,,9
246,14,11,16,1.0,500.0,PURCHASE_BILL,157,222.0,2026-04-11 18:15:00+00:00,,,9
247,14,11,16,-1.0,600.0,SALES_INVOICE,189,196.0,2026-04-11 18:15:00+00:00,,,9
248,14,11,16,-1.0,600.0,SALES_INVOICE,190,197.0,2026-04-11 18:15:00+00:00,,,9
249,14,11,16,-1.0,600.0,SALES_INVOICE,191,198.0,2026-04-14 18:15:00+00:00,,,9
250,14,11,25,1.0,5000.0,PURCHASE_BILL,158,223.0,2026-04-15 18:15:00+00:00,,,9
251,14,11,34,200.0,1000.0,PURCHASE_BILL,159,225.0,2026-04-15 18:15:00+00:00,,,9
252,14,11,33,300.0,500.0,PURCHASE_BILL,159,226.0,2026-04-15 18:15:00+00:00,,,9
259,14,11,33,-0.5,0.0,PRODUCTION_ORDER,4,,2026-04-20 01:51:04.939003+00:00,,,19
260,14,11,34,1.0,0.0,PRODUCTION_ORDER,4,,2026-04-20 01:51:04.939003+00:00,,,19
261,14,11,33,-0.5,0.0,PRODUCTION_ORDER,5,,2026-04-20 01:51:04.989047+00:00,,,19
262,14,11,34,1.0,0.0,PRODUCTION_ORDER,5,,2026-04-20 01:51:04.989047+00:00,,,19
263,14,11,33,1.0,500.0,PURCHASE_BILL,160,227.0,2026-04-23 18:15:00+00:00,,,9
264,14,11,16,-5.0,600.0,SALES_INVOICE,195,203.0,2026-04-23 18:15:00+00:00,,,9
