id,user_id,company_id,menu_id,allowed,access_level,tenant_id
316,9,14,57,True,full,12
241,11,17,1,True,deny,14
242,11,17,2,True,deny,14
243,11,17,3,True,deny,14
244,11,17,4,True,deny,14
245,11,17,47,True,deny,14
246,11,17,48,True,deny,14
284,11,17,51,True,deny,14
247,11,17,32,True,deny,14
286,11,17,54,True,deny,14
287,11,17,55,True,deny,14
249,11,17,42,True,deny,14
248,11,17,41,True,deny,14
251,11,17,50,True,deny,14
250,11,17,13,True,deny,14
252,11,17,14,True,deny,14
253,11,17,12,True,deny,14
255,11,17,24,True,deny,14
254,11,17,28,True,deny,14
256,11,17,9,True,deny,14
257,11,17,10,True,deny,14
258,11,17,11,True,deny,14
259,11,17,38,True,deny,14
260,11,17,39,True,deny,14
261,11,17,40,True,deny,14
263,11,17,16,True,deny,14
262,11,17,15,True,deny,14
264,11,17,17,True,deny,14
265,11,17,18,True,deny,14
266,11,17,19,True,deny,14
267,11,17,20,True,deny,14
268,11,17,21,True,deny,14
269,11,17,22,True,deny,14
270,11,17,23,True,deny,14
271,11,17,43,True,deny,14
273,11,17,45,True,deny,14
272,11,17,44,True,deny,14
274,11,17,46,True,deny,14
276,11,17,5,True,deny,14
275,11,17,49,True,deny,14
277,11,17,6,True,deny,14
278,11,17,7,True,deny,14
279,11,17,8,True,deny,14
280,11,17,35,True,deny,14
282,11,17,37,True,deny,14
281,11,17,36,True,deny,14
283,11,17,29,True,deny,14
285,11,17,52,True,deny,14
288,11,17,30,True,deny,14
289,11,17,53,True,deny,14
290,11,17,31,True,deny,14
291,11,17,33,True,deny,14
292,11,17,34,True,deny,14
215,9,14,41,True,full,12
239,9,14,53,True,full,12
306,9,14,65,True,full,12
302,9,14,62,True,full,12
336,9,14,82,True,full,12
337,9,14,83,True,full,12
338,9,14,84,True,full,12
344,14,14,62,True,full,12
326,14,14,80,True,full,12
187,14,14,38,True,full,12
329,14,14,81,True,full,12
350,14,14,71,True,full,12
356,14,14,76,True,full,12
324,14,14,56,True,full,12
314,9,14,74,True,full,12
318,9,14,76,True,full,12
355,14,14,67,True,full,12
345,14,14,65,True,full,12
325,14,14,69,True,full,12
349,14,14,70,True,full,12
305,9,14,59,True,full,12
311,9,14,68,True,full,12
33,14,14,9,True,full,12
357,14,14,82,True,full,12
293,14,14,51,True,full,12
168,15,21,31,True,full,17
161,15,21,23,True,full,17
156,15,21,18,True,full,17
151,15,21,10,True,full,17
144,15,21,4,True,full,17
141,15,21,1,True,full,17
49,17,23,4,True,deny,19
52,17,23,2,True,deny,19
53,17,23,12,True,deny,19
50,17,23,13,True,deny,19
75,17,23,31,True,deny,19
76,17,23,30,True,deny,19
74,17,23,29,True,deny,19
72,17,23,8,True,deny,19
71,17,23,7,True,deny,19
70,17,23,6,True,deny,19
68,17,23,5,True,deny,19
67,17,23,23,True,deny,19
66,17,23,21,True,deny,19
69,17,23,22,True,deny,19
64,17,23,19,True,deny,19
62,17,23,20,True,deny,19
65,17,23,18,True,deny,19
59,17,23,16,True,deny,19
63,17,23,17,True,deny,19
61,17,23,15,True,deny,19
60,17,23,11,True,deny,19
58,17,23,10,True,deny,19
55,17,23,9,True,deny,19
57,17,23,24,True,deny,19
73,17,23,28,True,deny,19
56,17,23,14,True,deny,19
54,17,23,3,True,deny,19
51,17,23,1,True,deny,19
183,18,24,34,True,full,20
182,18,24,33,True,full,20
181,18,24,37,True,full,20
180,18,24,36,True,full,20
179,18,24,35,True,full,20
178,18,24,46,True,full,20
177,18,24,45,True,full,20
176,18,24,44,True,full,20
175,18,24,43,True,full,20
174,18,24,40,True,full,20
173,18,24,39,True,full,20
172,18,24,38,True,full,20
171,18,24,42,True,full,20
170,18,24,41,True,full,20
169,18,24,32,True,full,20
140,18,24,31,True,full,20
135,18,24,30,True,full,20
137,18,24,8,True,full,20
139,18,24,29,True,full,20
136,18,24,7,True,full,20
138,18,24,6,True,full,20
134,18,24,5,True,full,20
133,18,24,23,True,full,20
131,18,24,21,True,full,20
132,18,24,22,True,full,20
130,18,24,20,True,full,20
129,18,24,19,True,full,20
127,18,24,17,True,full,20
126,18,24,16,True,full,20
128,18,24,18,True,full,20
125,18,24,15,True,full,20
124,18,24,11,True,full,20
121,18,24,24,True,full,20
122,18,24,9,True,full,20
119,18,24,14,True,full,20
123,18,24,10,True,full,20
120,18,24,28,True,full,20
117,18,24,12,True,full,20
115,18,24,3,True,full,20
116,18,24,4,True,full,20
114,18,24,2,True,full,20
118,18,24,13,True,full,20
113,18,24,1,True,full,20
190,14,14,44,True,full,12
27,14,14,3,True,full,12
29,14,14,13,True,full,12
28,14,14,4,True,full,12
44,14,14,23,True,full,12
46,14,14,6,True,full,12
48,14,14,7,True,full,12
196,14,14,37,True,full,12
112,14,14,31,True,full,12
47,14,14,8,True,full,12
188,14,14,41,True,full,12
185,14,14,39,True,full,12
213,10,16,34,True,full,13
212,10,16,33,True,full,13
211,10,16,37,True,full,13
210,10,16,36,True,full,13
209,10,16,35,True,full,13
208,10,16,46,True,full,13
207,10,16,45,True,full,13
206,10,16,44,True,full,13
205,10,16,43,True,full,13
204,10,16,40,True,full,13
203,10,16,39,True,full,13
202,10,16,38,True,full,13
201,10,16,42,True,full,13
200,10,16,41,True,full,13
199,10,16,32,True,full,13
86,10,16,12,True,full,13
107,10,16,8,True,full,13
105,10,16,30,True,full,13
108,10,16,29,True,full,13
106,10,16,31,True,full,13
102,10,16,6,True,full,13
103,10,16,5,True,full,13
104,10,16,7,True,full,13
101,10,16,23,True,full,13
98,10,16,21,True,full,13
100,10,16,22,True,full,13
96,10,16,18,True,full,13
97,10,16,20,True,full,13
99,10,16,19,True,full,13
93,10,16,17,True,full,13
94,10,16,15,True,full,13
92,10,16,16,True,full,13
95,10,16,11,True,full,13
91,10,16,10,True,full,13
191,14,14,43,True,full,12
189,14,14,40,True,full,12
233,14,14,48,True,full,12
194,14,14,35,True,full,12
41,14,14,20,True,full,12
7,9,14,13,False,full,12
31,14,14,14,True,full,12
193,14,14,46,True,full,12
327,14,14,78,True,full,12
184,14,14,32,True,full,12
30,14,14,12,True,full,12
35,14,14,11,True,full,12
109,14,14,28,True,full,12
43,14,14,22,True,full,12
40,14,14,19,True,full,12
186,14,14,42,True,full,12
234,14,14,49,True,full,12
45,14,14,5,True,full,12
42,14,14,21,True,full,12
25,14,14,1,True,full,12
32,14,14,24,True,full,12
38,14,14,17,True,full,12
36,14,14,15,True,full,12
197,14,14,33,True,full,12
198,14,14,34,True,full,12
4,9,14,3,False,full,12
26,14,14,2,True,full,12
232,14,14,47,True,full,12
34,14,14,10,True,full,12
195,14,14,36,True,full,12
3,9,14,12,False,full,12
216,9,14,42,True,full,12
8,9,14,14,False,full,12
77,9,14,28,True,full,12
11,9,14,24,False,full,12
9,9,14,11,False,full,12
10,9,14,9,False,full,12
1,9,14,10,False,full,12
217,9,14,38,True,full,12
218,9,14,39,True,full,12
219,9,14,40,True,full,12
14,9,14,16,False,full,12
12,9,14,15,False,full,12
15,9,14,18,False,full,12
13,9,14,17,False,full,12
17,9,14,21,False,full,12
18,9,14,20,False,full,12
19,9,14,22,False,full,12
20,9,14,23,False,full,12
220,9,14,43,True,full,12
221,9,14,44,True,full,12
222,9,14,45,True,full,12
223,9,14,46,True,full,12
21,9,14,5,False,full,12
231,9,14,49,True,full,12
22,9,14,7,True,full,12
23,9,14,6,False,full,12
24,9,14,8,False,full,12
224,9,14,35,True,full,12
225,9,14,36,True,full,12
226,9,14,37,True,full,12
78,9,14,29,True,full,12
79,9,14,30,True,full,12
80,9,14,31,True,full,12
227,9,14,33,True,full,12
228,9,14,34,True,full,12
5,9,14,2,False,full,12
81,10,16,4,True,full,13
83,10,16,1,True,full,13
88,10,16,9,True,full,13
87,10,16,24,True,full,13
90,10,16,28,True,full,13
89,10,16,14,True,full,13
85,10,16,2,True,full,13
82,10,16,13,True,full,13
84,10,16,3,True,full,13
192,14,14,45,True,full,12
328,14,14,77,True,full,12
294,14,14,55,True,full,12
297,14,14,53,True,full,12
